Method,P@1,P@5,P@10,R@10,R@50,R@100,MRR@10,MAP@100,NDCG@10,Latency (ms)
M1_BM25,0.11,0.0333,0.0183,0.1606,0.1806,0.1806,0.1281,0.1248,0.1338,9.19
M2_TFIDF,0.09,0.0327,0.0187,0.1596,0.203,0.2093,0.1139,0.1101,0.1214,1.15
M3_Dense_General,0.11,0.0413,0.0233,0.1947,0.212,0.2267,0.1392,0.1362,0.151,5.54
M4_Dense_Domain,0.0867,0.0307,0.0183,0.1494,0.1926,0.1956,0.1074,0.1021,0.1135,12.71
M5_Hybrid_RRF,0.12,0.0353,0.0213,0.1839,0.1839,0.1839,0.1424,0.1387,0.1509,19.43
M6_CrossEncoder,0.1367,0.0413,0.023,0.1919,0.1919,0.1919,0.1588,0.1518,0.1637,2620.83
M7_ColBERTv2,0.0967,0.0273,0.015,0.1356,0.1356,0.1356,0.1106,0.1063,0.1145,232.98
M8_HyDE,0.1,0.02,0.01,0.1,0.1,0.1,0.1,0.1,0.1,7.69
